iter	RMSE
278	71047.39309
279	71027.63129
280	71002.32072
281	70981.01598
282	70962.45435
283	70942.66969
284	70910.26058
285	70874.28574
286	70854.91587
287	70841.31992
288	70821.58885
289	70791.1125
290	70766.78601
291	70747.3733
292	70728.39808
293	70701.5206
294	70671.73786
295	70659.42051
296	70641.01903
297	70615.37688
298	70589.98635
299	70549.1978
300	70534.27571
301	70497.08512
302	70478.90771
303	70464.20018
304	70452.15512
305	70436.74551
306	70419.43662
307	70393.07916
308	70367.60274
309	70348.51143
310	70328.62061
311	70315.6702
312	70294.02681
313	70277.09083
314	70263.6251
315	70232.46788
316	70210.80501
317	70185.98223
318	70169.05522
319	70140.31373
320	70112.25859
321	70074.76669
322	70057.73677
323	70039.58497
324	70017.0352
325	69988.80872
326	69958.18186
327	69941.25092
328	69926.77728
329	69901.73005
330	69880.23597
331	69859.52052
332	69850.7636
333	69835.01759
334	69811.59612
335	69789.22553
336	69764.1665
337	69749.12742
338	69727.29908
339	69705.50272
340	69677.79586
341	69659.37953
342	69640.87905
343	69624.1018
344	69604.90542
345	69594.89231
346	69575.59643
347	69561.94617
348	69544.52539
349	69524.50264
350	69500.55259
351	69488.8591
352	69470.65853
353	69453.0663
354	69437.61679
355	69423.61948
356	69409.80824
357	69397.83739
358	69374.63262
359	69353.80291
360	69326.53065
361	69313.54053
362	69295.2656
363	69280.2908
364	69268.47018
365	69251.20682
366	69242.28687
367	69223.56453
368	69204.32296
369	69185.83741
370	69172.04379
371	69162.89676
372	69140.03061
373	69110.20318
374	69098.07521
375	69080.7007
376	69061.15045
377	69034.45844
378	69015.96044
379	69000.98617
380	68989.76896
381	68964.57853
382	68954.55197
383	68941.17674
384	68912.3404
385	68899.09341
386	68880.06226
387	68856.0371
388	68833.69286
389	68822.10923
390	68805.55653
391	68781.51802
392	68768.9168
393	68751.9587
394	68733.82272
395	68723.25826
396	68709.5214
397	68693.19842
398	68681.16339
399	68660.42264
400	68645.18524
401	68628.13491
402	68617.90836
403	68596.16551
404	68582.37177
405	68568.70269
406	68555.39683
407	68548.91793
408	68539.61926
409	68530.43737
410	68515.60754
411	68498.80761
412	68486.95797
413	68474.29702
414	68457.99176
415	68437.81082
416	68428.00942
417	68411.73137
418	68401.50094
419	68384.51837
420	68368.88067
421	68355.54259
422	68344.1901
423	68313.63514
424	68302.46985
425	68291.31302
426	68269.95162
427	68250.29376
428	68241.36145
429	68221.27767
430	68198.86762
431	68183.993
432	68164.47015
433	68149.69674
434	68136.98453
435	68120.84465
436	68096.90817
437	68087.40867
438	68073.34759
439	68058.35481
440	68043.57471
441	68032.4409
442	68021.58777
443	68001.83865
444	67988.76174
445	67976.75125
446	67958.51453
447	67946.19
448	67933.44032
449	67922.12567
450	67904.20416
451	67886.89954
452	67876.51726
453	67861.1159
454	67846.4018
455	67836.37989
456	67827.57869
457	67812.23735
458	67798.51883
459	67778.83369
460	67765.30679
461	67752.95568
462	67737.74434
463	67729.28885
464	67705.27248
465	67698.48123
466	67692.35942
467	67684.87903
468	67667.80531
469	67647.69091
470	67623.94249
471	67604.63714
472	67590.3739
473	67580.70788
474	67572.45585
475	67556.8132
476	67539.65958
477	67528.08112
478	67519.79732
479	67507.19032
480	67493.75847
481	67476.37057
482	67458.18327
483	67448.87382
484	67437.63148
485	67416.6744
486	67399.82757
487	67385.03251
488	67366.22326
489	67352.68377
490	67336.81162
491	67327.33897
492	67311.97046
493	67301.27667
494	67289.65498
495	67273.3387
496	67262.0731
497	67247.7219
498	67239.00718
499	67226.91635
500	67214.79022
501	67209.98285
502	67190.52259
503	67178.50276
504	67163.17323
505	67148.64076
506	67135.54111
507	67121.9385
508	67106.7362
509	67099.37558
510	67092.47195
511	67081.27942
512	67072.83946
513	67061.31615
514	67049.29363
515	67038.33414
516	67030.01056
517	67018.28105
518	67001.24881
519	66989.03873
520	66980.31108
521	66968.24252
522	66951.44115
523	66945.48371
524	66922.8347
525	66911.14961
526	66894.53499
527	66882.32101
528	66868.17045
529	66859.42893
530	66840.69823
531	66832.28249
532	66821.03277
533	66809.47104
534	66797.5612
535	66781.28938
536	66770.73198
537	66763.76362
538	66756.04919
539	66743.46116
540	66726.35012
541	66712.44037
542	66706.218
543	66698.43607
544	66684.78588
545	66671.32724
546	66662.04173
547	66650.6749
548	66638.69787
549	66625.80897
550	66611.23574
551	66597.32525
552	66586.68916
553	66574.97953
554	66561.74741
555	66550.34147
556	66538.87196
557	66530.21817
558	66518.16034
559	66511.27484
560	66500.60518
561	66489.70224
562	66473.17964
563	66463.38707
564	66454.50247
565	66448.38324
566	66436.22169
567	66427.48961
568	66421.57507
569	66408.98108
570	66398.606
571	66392.06801
572	66375.25892
573	66363.69905
574	66352.93517
575	66342.13882
576	66330.84419
577	66313.11002
578	66297.21559
579	66278.34093
580	66269.32858
581	66253.57805
582	66243.867
583	66236.71062
584	66225.15786
585	66215.48786
586	66197.54134
587	66188.90241
588	66177.06875
589	66170.52964
590	66162.16008
591	66146.87004
592	66139.96142
593	66125.48622
594	66114.20354
595	66102.69621
596	66090.18612
597	66072.36687
598	66062.30967
599	66053.22475
600	66045.79095
601	66037.48644
602	66029.17554
603	66018.6289
604	66009.38115
605	66002.60034
606	65991.96616
607	65981.12391
608	65971.23425
609	65963.74107
610	65952.28682
611	65935.72759
612	65925.9526
613	65914.92894
614	65901.44429
615	65891.99626
616	65884.46999
617	65869.38735
618	65861.45422
619	65855.5911
620	65845.18179
621	65825.7145
622	65817.81264
623	65805.62381
624	65796.98628
625	65776.63566
626	65764.79014
627	65759.63757
628	65753.35354
629	65742.24212
630	65732.99382
631	65726.56566
632	65714.50263
633	65704.53954
634	65694.46423
635	65680.69201
636	65666.31685
637	65658.11602
638	65646.75051
639	65637.95555
640	65629.81207
641	65622.02883
642	65616.63972
643	65606.38252
644	65595.08719
645	65583.70962
646	65573.10216
647	65566.43487
648	65554.36754
649	65544.71533
650	65538.76746
651	65530.09289
652	65522.35587
653	65512.74379
654	65499.59538
655	65487.10779
656	65478.88638
657	65469.21905
658	65459.18168
659	65452.43795
660	65445.20706
661	65437.40292
662	65431.64491
663	65423.54168
664	65417.71262
665	65409.04443
666	65399.07217
667	65389.96014
668	65379.933
669	65373.69727
670	65366.35991
671	65357.45921
672	65351.64446
673	65342.11054
674	65335.3991
675	65325.04746
676	65311.27385
677	65301.2099
678	65294.16523
679	65285.66036
680	65276.29722
681	65266.63083
682	65261.44215
683	65249.63985
684	65236.17385
685	65227.23311
686	65213.99215
687	65204.70851
688	65199.19884
689	65189.67947
690	65180.41385
691	65169.19401
692	65163.5455
693	65151.3103
694	65145.11747
695	65134.90816
696	65123.06245
697	65118.66126
698	65109.48807
699	65101.79318
700	65092.06422
701	65086.47426
702	65077.77666
703	65070.16045
704	65059.51113
705	65053.04455
706	65042.03701
707	65032.02966
708	65021.16967
709	65010.35787
710	64999.73978
711	64990.45289
712	64984.60231
713	64968.80773
714	64958.28729
715	64951.17458
716	64943.30468
717	64936.5242
718	64929.25324
719	64921.59009
720	64914.77729
721	64907.335
722	64897.58703
723	64890.03812
724	64880.66324
725	64870.48379
726	64862.09098
727	64851.85527
728	64843.32843
729	64834.80628
730	64825.60995
731	64821.44674
732	64813.47534
733	64803.81901
734	64796.01018
735	64786.87813
736	64780.78307
737	64774.15187
738	64756.6989
739	64749.94704
740	64741.82456
741	64735.03247
742	64721.52332
743	64712.83778
744	64703.67827
745	64696.10292
746	64688.76203
747	64683.39305
748	64673.79098
749	64666.56072
750	64660.19519
751	64653.24382
752	64645.38072
753	64636.39364
754	64625.98219
755	64616.72755
756	64603.9177
757	64597.57902
758	64586.43604
759	64577.39752
760	64568.57428
761	64561.61441
762	64555.63878
763	64549.56955
764	64539.38474
765	64531.74186
766	64521.04441
767	64514.41719
768	64509.18882
769	64499.18764
770	64491.16238
771	64481.1563
772	64475.50889
773	64469.44484
774	64458.69386
775	64447.05133
776	64435.58747
777	64427.19258
778	64421.249
779	64409.88291
780	64401.59643
781	64389.53281
782	64379.85422
783	64367.92574
784	64356.66135
785	64346.76109
786	64339.22824
787	64334.56995
788	64329.93705
789	64322.44947
790	64319.03582
791	64310.7593
792	64306.87257
793	64297.01664
794	64289.99434
795	64282.39287
796	64276.95971
797	64270.67883
798	64266.5792
799	64262.9833
800	64256.58173
801	64249.50115
802	64243.40618
803	64239.32941
804	64224.08339
805	64216.62629
806	64210.06046
807	64202.38606
808	64194.84005
809	64186.20304
810	64178.14249
811	64168.50479
812	64160.53429
813	64153.96963
814	64148.25228
815	64137.4822
816	64126.6921
817	64114.72052
818	64107.60631
819	64097.50827
820	64090.74066
821	64083.53838
822	64072.89885
823	64061.84573
824	64053.46836
825	64048.72341
826	64039.75994
827	64033.60196
828	64029.12973
829	64020.15633
830	64013.29142
831	64002.05864
832	63991.03067
833	63985.80322
834	63979.33599
835	63968.86569
836	63960.86794
837	63952.40632
838	63947.52229
839	63939.65014
840	63933.81946
841	63927.36932
842	63920.80223
843	63916.32266
844	63911.25008
845	63902.96408
846	63896.61933
847	63889.0419
848	63883.24412
849	63879.53078
850	63871.39388
851	63864.60366
852	63851.58409
853	63844.71026
854	63839.33205
855	63831.38576
856	63823.48838
857	63818.32488
858	63812.00318
859	63806.90386
860	63801.67835
861	63795.67604
862	63790.80432
863	63785.28786
864	63778.09691
865	63771.33334
866	63763.98417
867	63761.22929
868	63756.0874
869	63750.37823
870	63738.71738
871	63733.06424
872	63720.63362
873	63717.58359
874	63711.31407
875	63706.24777
876	63698.11514
877	63691.78832
878	63683.85819
879	63678.90638
880	63673.0835
881	63661.85294
882	63657.39527
883	63651.67847
884	63647.14714
885	63640.57853
886	63631.18475
887	63625.54988
888	63618.15138
889	63611.90748
890	63607.19784
891	63598.84574
892	63593.44944
893	63583.85488
894	63575.10255
895	63571.01085
896	63561.99725
897	63556.88257
898	63545.10045
899	63541.54889
900	63534.31562
901	63522.88008
902	63517.32967
903	63510.90537
904	63505.04948
905	63490.2197
906	63485.77275
907	63481.0269
908	63475.3345
909	63469.01483
910	63462.44299
911	63453.04578
912	63443.69774
913	63437.57324
914	63431.49005
915	63421.74829
916	63417.00476
917	63410.92334
918	63404.71601
919	63397.75416
920	63393.1128
921	63387.11976
922	63379.55805
923	63371.13069
924	63363.18153
925	63355.75135
926	63347.05469
927	63341.79476
928	63334.21449
929	63327.6647
930	63320.45801
931	63314.68282
932	63310.61809
933	63304.1879
934	63292.80613
935	63286.13424
936	63280.1543
937	63276.89915
938	63271.94438
939	63267.37063
940	63257.65814
941	63250.46001
942	63245.14458
943	63238.96537
944	63233.21598
945	63228.09366
946	63221.78634
947	63215.94344
948	63207.81331
949	63200.12844
950	63189.86314
951	63183.1592
952	63178.61667
953	63173.30868
954	63167.35593
955	63158.53718
956	63153.43992
957	63147.98092
958	63143.0315
959	63136.29173
960	63130.35348
961	63118.52708
962	63113.4392
963	63106.86139
964	63101.2205
965	63095.24474
966	63091.37758
967	63088.32955
968	63083.63013
969	63079.98723
970	63074.08832
971	63068.85861
972	63062.73914
973	63052.73837
974	63047.74698
975	63042.95814
976	63037.96894
977	63035.62057
978	63031.89216
979	63027.54142
980	63019.62124
981	63016.38575
982	63011.30364
983	63005.71156
984	63002.93543
985	62996.57436
986	62992.74758
987	62988.31481
988	62984.07009
989	62980.38489
990	62973.52988
991	62966.34
992	62962.90649
993	62959.46619
994	62952.90796
995	62946.94302
996	62942.05043
997	62938.77958
998	62935.61795
999	62927.47194
