iter	Passed	Remaining
249	1574	4722
250	1580	4714
251	1586	4708
252	1592	4702
253	1598	4693
254	1604	4688
255	1610	4681
256	1618	4678
257	1624	4671
258	1630	4665
259	1637	4660
260	1643	4653
261	1649	4646
262	1657	4644
263	1664	4639
264	1670	4634
265	1676	4627
266	1683	4622
267	1690	4616
268	1696	4609
269	1702	4604
270	1709	4597
271	1716	4592
272	1722	4586
273	1728	4579
274	1735	4574
275	1741	4567
276	1747	4561
277	1754	4555
278	1760	4549
279	1767	4543
280	1773	4536
281	1779	4529
282	1785	4524
283	1792	4518
284	1799	4514
285	1805	4507
286	1811	4499
287	1817	4493
288	1824	4487
289	1830	4482
290	1837	4475
291	1843	4468
292	1849	4462
293	1855	4456
294	1862	4450
295	1868	4443
296	1874	4436
297	1880	4429
298	1886	4423
299	1893	4418
300	1900	4413
301	1907	4407
302	1913	4401
303	1920	4396
304	1926	4389
305	1933	4384
306	1939	4377
307	1946	4372
308	1952	4365
309	1958	4358
310	1964	4351
311	1969	4343
312	1976	4337
313	1982	4332
314	1989	4325
315	1996	4320
316	2002	4314
317	2009	4308
318	2015	4301
319	2021	4296
320	2028	4290
321	2034	4284
322	2042	4280
323	2048	4274
324	2055	4268
325	2061	4262
326	2068	4257
327	2075	4251
328	2081	4245
329	2087	4239
330	2094	4232
331	2100	4226
332	2106	4220
333	2112	4213
334	2119	4206
335	2125	4201
336	2132	4194
337	2138	4189
338	2145	4183
339	2151	4176
340	2158	4170
341	2164	4164
342	2171	4158
343	2178	4153
344	2184	4147
345	2190	4140
346	2197	4136
347	2204	4130
348	2210	4123
349	2217	4118
350	2224	4113
351	2230	4106
352	2237	4100
353	2243	4094
354	2249	4087
355	2255	4080
356	2262	4074
357	2268	4067
358	2274	4061
359	2281	4055
360	2288	4050
361	2294	4043
362	2300	4037
363	2306	4029
364	2312	4023
365	2319	4018
366	2326	4012
367	2333	4007
368	2340	4003
369	2347	3996
370	2353	3990
371	2359	3983
372	2365	3977
373	2372	3971
374	2378	3964
375	2386	3959
376	2392	3953
377	2399	3948
378	2405	3941
379	2411	3934
380	2418	3929
381	2424	3923
382	2431	3917
383	2438	3911
384	2445	3905
385	2451	3899
386	2458	3893
387	2465	3888
388	2472	3882
389	2478	3876
390	2485	3871
391	2491	3864
392	2498	3858
393	2504	3852
394	2511	3846
395	2517	3840
396	2523	3833
397	2530	3827
398	2537	3821
399	2544	3816
400	2551	3810
401	2557	3804
402	2564	3798
403	2570	3792
404	2577	3786
405	2583	3779
406	2589	3773
407	2596	3767
408	2602	3760
409	2608	3754
410	2615	3747
411	2621	3742
412	2628	3735
413	2634	3729
414	2640	3722
415	2647	3716
416	2653	3710
417	2660	3703
418	2666	3697
419	2672	3690
420	2679	3684
421	2685	3678
422	2692	3672
423	2698	3666
424	2704	3659
425	2711	3653
426	2717	3646
427	2724	3641
428	2730	3634
429	2736	3628
430	2743	3622
431	2750	3615
432	2757	3610
433	2763	3603
434	2769	3596
435	2775	3590
436	2782	3584
437	2789	3579
438	2796	3573
439	2802	3566
440	2809	3561
441	2815	3554
442	2821	3547
443	2828	3541
444	2834	3535
445	2841	3530
446	2848	3524
447	2855	3518
448	2861	3512
449	2868	3506
450	2875	3500
451	2882	3494
452	2889	3488
453	2895	3482
454	2902	3476
455	2908	3469
456	2914	3463
457	2921	3457
458	2928	3451
459	2935	3446
460	2941	3439
461	2948	3433
462	2955	3427
463	2961	3420
464	2968	3415
465	2974	3408
466	2980	3401
467	2986	3395
468	2992	3388
469	2999	3382
470	3006	3376
471	3012	3370
472	3019	3364
473	3025	3357
474	3032	3351
475	3039	3345
476	3046	3340
477	3052	3333
478	3059	3327
479	3065	3321
480	3072	3315
481	3079	3309
482	3085	3302
483	3091	3295
484	3097	3289
485	3104	3283
486	3111	3277
487	3117	3270
488	3124	3264
489	3131	3259
490	3137	3252
491	3143	3246
492	3150	3240
493	3156	3233
494	3163	3226
495	3170	3221
496	3176	3215
497	3183	3208
498	3189	3202
499	3195	3195
500	3202	3189
501	3208	3182
502	3215	3177
503	3222	3171
504	3230	3166
505	3237	3160
506	3243	3154
507	3250	3148
508	3256	3141
509	3263	3135
510	3269	3128
511	3276	3122
512	3282	3116
513	3288	3109
514	3295	3103
515	3301	3096
516	3307	3090
517	3313	3083
518	3320	3077
519	3327	3071
520	3333	3064
521	3340	3058
522	3346	3052
523	3352	3045
524	3360	3040
525	3366	3033
526	3373	3027
527	3380	3021
528	3386	3015
529	3393	3009
530	3399	3002
531	3406	2996
532	3412	2990
533	3418	2983
534	3426	2978
535	3433	2972
536	3440	2966
537	3446	2959
538	3453	2953
539	3459	2947
540	3466	2941
541	3473	2934
542	3479	2928
543	3485	2921
544	3491	2915
545	3498	2908
546	3505	2902
547	3511	2896
548	3519	2890
549	3525	2884
550	3532	2878
551	3539	2872
552	3545	2866
553	3552	2860
554	3559	2854
555	3566	2848
556	3573	2842
557	3579	2835
558	3586	2829
559	3592	2822
560	3599	2816
561	3605	2809
562	3611	2803
563	3618	2797
564	3624	2790
565	3630	2783
566	3637	2777
567	3644	2771
568	3650	2765
569	3657	2759
570	3663	2752
571	3670	2746
572	3676	2739
573	3683	2733
574	3690	2727
575	3696	2720
576	3702	2714
577	3709	2708
578	3716	2702
579	3723	2696
580	3729	2689
581	3736	2683
582	3743	2677
583	3749	2671
584	3756	2664
585	3762	2658
586	3769	2652
587	3775	2645
588	3782	2639
589	3788	2632
590	3795	2626
591	3801	2620
592	3808	2613
593	3815	2607
594	3821	2601
595	3829	2595
596	3836	2589
597	3842	2583
598	3849	2577
599	3855	2570
600	3862	2564
601	3868	2557
602	3874	2550
603	3881	2545
604	3888	2538
605	3894	2532
606	3901	2525
607	3907	2519
608	3914	2513
609	3920	2506
610	3927	2500
611	3934	2494
612	3941	2488
613	3947	2481
614	3953	2475
615	3960	2468
616	3966	2462
617	3972	2455
618	3979	2449
619	3985	2442
620	3992	2436
621	3998	2430
622	4004	2423
623	4012	2417
624	4018	2411
625	4025	2405
626	4032	2398
627	4039	2392
628	4045	2386
629	4051	2379
630	4058	2373
631	4064	2366
632	4071	2360
633	4077	2353
634	4083	2346
635	4089	2340
636	4096	2334
637	4102	2327
638	4109	2321
639	4116	2315
640	4123	2309
641	4129	2302
642	4135	2296
643	4141	2289
644	4148	2283
645	4155	2277
646	4161	2270
647	4168	2264
648	4175	2258
649	4182	2251
650	4189	2246
651	4195	2239
652	4202	2233
653	4209	2226
654	4216	2220
655	4223	2214
656	4229	2208
657	4236	2201
658	4242	2195
659	4249	2189
660	4255	2182
661	4261	2175
662	4268	2169
663	4274	2162
664	4280	2156
665	4287	2150
666	4294	2143
667	4301	2137
668	4307	2131
669	4314	2125
670	4322	2119
671	4328	2112
672	4335	2106
673	4341	2099
674	4348	2093
675	4354	2087
676	4360	2080
677	4367	2074
678	4374	2067
679	4380	2061
680	4387	2055
681	4393	2048
682	4400	2042
683	4407	2036
684	4414	2030
685	4421	2023
686	4428	2017
687	4434	2011
688	4441	2004
689	4448	1998
690	4455	1992
691	4462	1986
692	4469	1979
693	4475	1973
694	4482	1966
695	4488	1960
696	4495	1954
697	4501	1947
698	4508	1941
699	4514	1934
700	4521	1928
701	4528	1922
702	4535	1916
703	4542	1910
704	4549	1903
705	4556	1897
706	4563	1891
707	4570	1884
708	4576	1878
709	4583	1872
710	4590	1865
711	4597	1859
712	4603	1853
713	4610	1846
714	4618	1840
715	4624	1834
716	4631	1828
717	4638	1821
718	4644	1815
719	4651	1808
720	4658	1802
721	4664	1796
722	4670	1789
723	4678	1783
724	4685	1777
725	4693	1771
726	4699	1764
727	4706	1758
728	4712	1751
729	4718	1745
730	4725	1738
731	4732	1732
732	4738	1726
733	4745	1719
734	4751	1713
735	4759	1707
736	4765	1700
737	4772	1694
738	4778	1687
739	4784	1681
740	4791	1674
741	4798	1668
742	4805	1662
743	4811	1655
744	4818	1649
745	4825	1642
746	4831	1636
747	4839	1630
748	4845	1623
749	4852	1617
750	4858	1610
751	4865	1604
752	4872	1598
753	4878	1591
754	4885	1585
755	4892	1578
756	4898	1572
757	4905	1566
758	4912	1559
759	4919	1553
760	4926	1547
761	4933	1540
762	4939	1534
763	4945	1527
764	4953	1521
765	4959	1515
766	4966	1508
767	4972	1502
768	4979	1495
769	4986	1489
770	4992	1482
771	4999	1476
772	5006	1470
773	5012	1463
774	5019	1457
775	5026	1450
776	5032	1444
777	5039	1438
778	5046	1431
779	5052	1425
780	5059	1418
781	5066	1412
782	5073	1405
783	5079	1399
784	5086	1393
785	5093	1386
786	5100	1380
787	5106	1373
788	5113	1367
789	5120	1361
790	5126	1354
791	5133	1348
792	5139	1341
793	5146	1335
794	5152	1328
795	5159	1322
796	5165	1315
797	5171	1309
798	5178	1302
799	5184	1296
800	5191	1289
801	5197	1283
802	5203	1276
803	5210	1270
804	5217	1263
805	5224	1257
806	5231	1251
807	5237	1244
808	5244	1238
809	5250	1231
810	5257	1225
811	5264	1218
812	5271	1212
813	5278	1206
814	5284	1199
815	5291	1193
816	5298	1186
817	5305	1180
818	5311	1173
819	5318	1167
820	5324	1160
821	5331	1154
822	5337	1147
823	5344	1141
824	5351	1135
825	5358	1128
826	5364	1122
827	5371	1115
828	5377	1109
829	5384	1102
830	5391	1096
831	5397	1089
832	5404	1083
833	5411	1077
834	5417	1070
835	5424	1064
836	5431	1057
837	5438	1051
838	5444	1044
839	5451	1038
840	5458	1031
841	5464	1025
842	5472	1019
843	5478	1012
844	5485	1006
845	5491	999
846	5498	993
847	5505	986
848	5512	980
849	5518	973
850	5525	967
851	5532	961
852	5538	954
853	5544	947
854	5551	941
855	5558	935
856	5564	928
857	5570	922
858	5577	915
859	5583	908
860	5589	902
861	5596	895
862	5603	889
863	5609	883
864	5616	876
865	5623	870
866	5630	863
867	5637	857
868	5643	850
869	5650	844
870	5657	837
871	5664	831
872	5670	824
873	5676	818
874	5683	811
875	5689	805
876	5696	798
877	5703	792
878	5709	786
879	5716	779
880	5723	773
881	5730	766
882	5736	760
883	5742	753
884	5749	747
885	5755	740
886	5761	734
887	5768	727
888	5775	721
889	5782	714
890	5789	708
891	5796	701
892	5802	695
893	5809	688
894	5815	682
895	5821	675
896	5828	669
897	5834	662
898	5842	656
899	5848	649
900	5854	643
901	5862	636
902	5868	630
903	5875	623
904	5881	617
905	5888	610
906	5894	604
907	5901	597
908	5908	591
909	5915	585
910	5923	578
911	5929	572
912	5936	565
913	5944	559
914	5950	552
915	5958	546
916	5964	539
917	5971	533
918	5978	526
919	5984	520
920	5991	513
921	5997	507
922	6004	500
923	6010	494
924	6017	487
925	6025	481
926	6031	475
927	6038	468
928	6045	462
929	6053	455
930	6059	449
931	6066	442
932	6073	436
933	6079	429
934	6087	423
935	6094	416
936	6100	410
937	6107	403
938	6113	397
939	6120	390
940	6127	384
941	6134	377
942	6140	371
943	6147	364
944	6154	358
945	6160	351
946	6167	345
947	6174	338
948	6180	332
949	6187	325
950	6194	319
951	6201	312
952	6207	306
953	6214	299
954	6221	293
955	6227	286
956	6234	280
957	6241	273
958	6248	267
959	6255	260
960	6262	254
961	6270	247
962	6276	241
963	6283	234
964	6290	228
965	6297	221
966	6303	215
967	6309	208
968	6316	202
969	6322	195
970	6329	189
971	6336	182
972	6342	175
973	6349	169
974	6355	162
975	6362	156
976	6370	149
977	6376	143
978	6383	136
979	6389	130
980	6396	123
981	6402	117
982	6408	110
983	6415	104
984	6421	97
985	6428	91
986	6435	84
987	6441	78
988	6448	71
989	6454	65
990	6461	58
991	6467	52
992	6475	45
993	6482	39
994	6488	32
995	6495	26
996	6502	19
997	6509	13
998	6515	6
999	6521	0
